ID_Cliente;Edad;Categoría_Producto;Monto_Gastado;Día_Semana;Medio_Pago
C030;18;Electrónica;233,52;Miércoles;Tarjeta
C001;18;Juguetes;476,96;Martes;PayPal
C015;18;Ropa;85,08;Lunes;Tarjeta
C021;19;Electrónica;144,83;Miércoles;Tarjeta
C020;20;Electrónica;47,62;Lunes;PayPal
C008;24;Hogar;182,12;Jueves;Efectivo
C002;26;Ropa;408,46;Viernes;PayPal
C019;26;Ropa;398,69;Miércoles;PayPal
C013;27;Juguetes;139,02;Martes;Transferencia
C029;29;Deportes;227,29;Miércoles;PayPal
C005;30;Ropa;163,08;Lunes;PayPal
C006;34;Juguetes;68,87;Lunes;Tarjeta
C025;36;Juguetes;261,37;Viernes;PayPal
C004;40;Juguetes;255,66;Viernes;PayPal
C016;42;Juguetes;254,53;Martes;Tarjeta
C026;43;Juguetes;404,61;Jueves;Tarjeta
C010;44;Hogar;122,55;Martes;Efectivo
C011;45;Electrónica;384,98;Jueves;Efectivo
C017;45;Electrónica;480,69;Lunes;Transferencia
C028;45;Juguetes;218,65;Martes;PayPal
C023;47;Hogar;340,21;Jueves;PayPal
C014;51;Electrónica;130,83;Viernes;Transferencia
C022;52;Hogar;372,01;Lunes;Efectivo
C012;57;Ropa;455,58;Lunes;PayPal
C009;59;Deportes;252,21;Miércoles;PayPal
C024;59;Hogar;56,23;Jueves;Efectivo
C018;60;Juguetes;22,79;Martes;Transferencia
C003;61;Deportes;333,47;Jueves;PayPal
C027;61;Juguetes;382,43;Lunes;Transferencia
C007;64;Hogar;74,64;Viernes;Tarjeta
